Edad,qx
0,0.006364
1,0.000432
2,0.000284
3,0.000234
4,0.00017
5,0.000157
6,0.000147
7,0.000136
8,0.00012
9,0.000101
10,0.000088
11,0.000093
12,0.00013
13,0.000209
14,0.00032
15,0.000441
16,0.000564
17,0.000701
18,0.000851
19,0.001007
20,0.001173
21,0.001331
22,0.001455
23,0.001531
24,0.001572
25,0.001602
26,0.001635
27,0.001669
28,0.001708
29,0.001752
30,0.001794
31,0.001835
32,0.00188
33,0.00193
34,0.001986
35,0.002052
36,0.002125
37,0.002196
38,0.002264
39,0.002334
40,0.00242
41,0.00253
42,0.002663
43,0.002823
44,0.003013
45,0.003229
46,0.003479
47,0.00378
48,0.00414
49,0.004553
50,0.005007
51,0.005493
52,0.006016
53,0.006575
54,0.00717
55,0.007805
56,0.008477
57,0.009181
58,0.009916
59,0.010683
60,0.011533
61,0.012434
62,0.013302
63,0.014109
64,0.014913
65,0.015808
66,0.016868
67,0.018101
68,0.019544
69,0.021206
70,0.023122
71,0.025265
72,0.027585
73,0.03007
74,0.032794
75,0.035963
76,0.039588
77,0.043511
78,0.04772
79,0.052358
80,0.057712
81,0.063886
82,0.070782
83,0.078442
84,0.086997
85,0.096603
86,0.10739
87,0.119456
88,0.132853
89,0.147599
90,0.163689
91,0.181104
92,0.19981
93,0.219765
94,0.240913
95,0.261868
96,0.282225
97,0.301555
98,0.319421
99,0.335392
100,0.352162
101,0.36977
102,0.388259
103,0.407672
104,0.428055
105,0.449458
106,0.471931
107,0.495527
108,0.520304
109,0.546319
110,0.573635
111,0.602317
112,0.632432
113,0.664054
114,0.697257
115,0.732119
116,0.768725
117,0.807162
118,0.84752
119,0.889896
